ORDERNUMBER,QUANTITYORDERED,PRICEEACH,SALES,PRODUCTLINE
10148,34,100.0,3598.22,Vintage Cars
10420,66,92.95,6134.7,Vintage Cars
10270,38,100.0,5383.08,Trucks and Buses
10347,45,100.0,5884.65,Trucks and Buses
10370,29,57.53,1668.37,Trucks and Buses
10270,44,58.36,2567.84,Vintage Cars
10370,20,100.0,2730.0,Vintage Cars
10169,33,100.0,4910.4,Classic Cars
10342,38,100.0,6276.46,Classic Cars
10148,29,81.25,2356.25,Classic Cars
10420,36,57.73,2078.28,Classic Cars
10148,25,60.26,1506.5,Classic Cars
10420,60,64.67,3880.2,Classic Cars
10120,35,98.05,3431.75,Motorcycles
10223,32,91.29,2921.28,Motorcycles
10148,47,56.85,2671.95,Classic Cars
10420,37,60.37,2233.69,Classic Cars
10120,39,100.0,4651.53,Planes
10223,34,100.0,3608.76,Planes
10391,33,100.0,8344.71,Vintage Cars
10420,45,26.88,1209.6,Vintage Cars
10120,34,83.79,2848.86,Motorcycles
10223,38,69.31,2633.78,Motorcycles
10391,24,100.0,4042.08,Vintage Cars
10169,38,74.11,2816.18,Motorcycles
10148,21,73.6,1545.6,Classic Cars
10420,39,100.0,3933.93,Classic Cars
10148,34,100.0,4392.12,Classic Cars
10420,55,96.3,5296.5,Classic Cars
10342,39,40.4,1575.6,Classic Cars
10148,31,73.62,2282.22,Classic Cars
10420,35,96.74,3385.9,Classic Cars
10169,34,50.21,1707.14,Classic Cars
10342,48,62.45,2997.6,Classic Cars
10361,34,100.0,3871.92,Vintage Cars
10148,27,100.0,3469.5,Classic Cars
10420,26,100.0,2617.16,Classic Cars
10342,42,100.0,5013.54,Classic Cars
10361,26,100.0,3710.98,Planes
10420,15,43.49,652.35,Vintage Cars
10139,29,100.0,3276.13,Vintage Cars
10120,29,85.49,2479.21,Planes
10223,23,74.62,1716.26,Planes
10361,25,62.46,1561.5,Planes
10169,24,94.58,2269.92,Classic Cars
10270,32,85.72,2743.04,Trucks and Buses
10120,22,100.0,2461.36,Motorcycles
10223,21,100.0,2475.27,Motorcycles
10169,26,39.83,1035.58,Motorcycles
10270,21,63.35,1330.35,Trucks and Buses
10370,25,100.0,3160.25,Trucks and Buses
10120,29,72.23,2094.67,Vintage Cars
10223,20,66.04,1320.8,Vintage Cars
10361,49,72.33,3544.17,Vintage Cars
10169,34,100.0,3920.88,Motorcycles
10120,49,50.62,2480.38,Vintage Cars
10223,41,46.26,1896.66,Vintage Cars
10361,33,82.59,2725.47,Vintage Cars
10169,48,80.55,3866.4,Motorcycles
10120,47,82.21,3863.87,Planes
10223,25,100.0,2534.75,Planes
10361,20,60.54,1210.8,Planes
10361,24,45.39,1089.36,Ships
10120,24,100.0,2584.8,Planes
10361,26,100.0,2754.7,Planes
10270,46,88.0,4048.0,Classic Cars
10120,24,100.0,3417.12,Planes
10223,29,100.0,3199.86,Planes
10361,44,72.42,3186.48,Planes
10120,43,76.0,3268.0,Planes
10223,26,67.2,1747.2,Planes
10361,44,100.0,5001.92,Planes
10361,35,100.0,4277.35,Planes
10361,23,95.2,2189.6,Planes
